symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2016-02-19 00:00:00+00:00,22.361495325,22.5291134058,22.3056148702,22.3521819158,141496692,96.04,0.0,96.7599,95.8,96.0,1.0,35374173
AAPL,2016-02-22 00:00:00+00:00,22.5570769167,22.5617336213,22.3335550976,22.4243608366,137123032,96.88,0.0,96.9,95.92,96.31,1.0,34280758
AAPL,2016-02-23 00:00:00+00:00,22.0471677668,22.46859953,22.0145708348,22.4453160071,127770532,94.69,0.0,96.5,94.55,96.4,1.0,31942633
AAPL,2016-02-24 00:00:00+00:00,22.3754654386,22.4406593026,21.728183504,21.8818547547,145022980,96.1,0.0,96.38,93.32,93.98,1.0,36255745
AAPL,2016-02-25 00:00:00+00:00,22.5291366893,22.5291366893,22.1775554946,22.3638236772,110330636,96.76,0.0,96.76,95.25,96.05,1.0,27582659
AAPL,2016-02-26 00:00:00+00:00,22.5640619736,22.8233705673,22.4872263482,22.6315841898,115964524,96.91,0.0,98.0237,96.58,97.2,1.0,28991131
AAPL,2016-02-29 00:00:00+00:00,22.5128382233,22.8714044749,22.5035248142,22.5524202121,140865108,96.69,0.0,98.23,96.65,96.86,1.0,35216277
AAPL,2016-03-01 00:00:00+00:00,23.4069255,23.4628059548,22.68280794,22.7363600425,201628588,100.53,0.0,100.77,97.42,97.65,1.0,50407147
AAPL,2016-03-02 00:00:00+00:00,23.4581492502,23.4907461822,23.1997021468,23.4022687954,132678240,100.75,0.0,100.89,99.64,100.51,1.0,33169560
AAPL,2016-03-03 00:00:00+00:00,23.6327756714,23.6816477858,23.3882986817,23.4185672614,147822968,101.5,0.0,101.7099,100.45,100.58,1.0,36955742
AAPL,2016-03-04 00:00:00+00:00,23.9843568661,24.1566549351,23.6025070917,23.83534232,184220400,103.01,0.0,103.75,101.37,102.37,1.0,46055100
AAPL,2016-03-07 00:00:00+00:00,23.7189247059,23.942446525,23.5070446481,23.8399990246,143663240,101.87,0.0,102.83,100.96,102.39,1.0,35915810
